time,y0_index,beta,Ca,delta,Susceptible,Exposed,Infectious_asymptomatic,Infectious_pre-symptomatic,Infectious_mild,Infectious_severe,Hospitalized_recovered,Hospitalized_deceased,Recovered,Deceased,a
2,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9964014821428572,0.0009538243669781,0.000651823259626,0.0002150328783307,0.0004562512250627,6.090884508405413e-05,4.3616874149867465e-05,6.681071635654994e-05,0.0004274338378905,4.468909563337054e-05,0
3,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9957789910714286,0.0010265336390903,0.0007239131905691,0.0002273927743093,0.0005285926295688,5.877144132341657e-05,4.088785443987165e-05,7.461271667480469e-05,0.0004331190447125,5.543045970371792e-05,0
4,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9950912321428572,0.0011183252476282,0.0007978464878626,0.000245032067435,0.0005935454711913,5.840393011910575e-05,3.844600895472935e-05,8.096563066755021e-05,0.0004384555969237,6.72354496547154e-05,0
5,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9943357232142856,0.0012229946637834,0.0008767714233398,0.0002666687665666,0.0006577347324915,5.961062513078962e-05,3.6332742963518416e-05,8.655588749476842e-05,0.0004434851379394,7.993834250313895e-05,0
6,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9935076785714286,0.0013388707624162,0.0009622342267717,0.0002914060363769,0.0007246953386578,6.217101178850447e-05,3.457440621512277e-05,9.191213771275113e-05,0.0004482538190568,9.3465336390904e-05,0
7,14.0,0.5,0.6000000238418579,0.1375000029802322,0.992601,0.0014659313790456,0.0010552401210239,0.0003188897181919,0.0007963281511578,6.588758850097656e-05,3.318420955113002e-05,9.742753274100168e-05,0.0004528104378835,0.0001078121828351,0
8,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9916085446428572,0.0016047900216238,0.0011566274414062,0.0003490807669502,0.000873796282087,7.061006382533482e-05,3.216561998639788e-05,0.000103389678955,0.0004572048906598,0.0001230258734566,0
9,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9905225892857142,0.0017563630022321,0.0012672122279575,0.0003821011090959,0.0009579626639229,7.623761313302175e-05,3.1515890938895094e-05,0.0001100097656249,0.0004614869995116,0.0001391908525738,0
10,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9893348482142856,0.0019216678118024,0.0013878408726282,0.0004181501028877,0.0010495896432058,8.271237182617187e-05,3.122898728506906e-05,0.0001174467261177,0.000465706098284,0.0001564193899971,0
11,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9880362142857144,0.0021018126395088,0.0015194012276785,0.0004574632437569,0.0011494181431361,9.001015472412109e-05,3.12977785382952e-05,0.000125825641087,0.0004699104919433,0.000174845160348,0
12,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9866169732142858,0.0022979598563057,0.0016628271484374,0.0005002963474818,0.001258199759347,9.813231876916895e-05,3.1715556825910295e-05,0.0001352509416852,0.0004741476745605,0.0001946190447125,0
13,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9850665267857144,0.0025113725585937,0.0018191121477398,0.0005469292428152,0.001376714477539,0.0001070996148245,3.247699192592076e-05,0.0001458157523018,0.0004784641723632,0.0002159068232944,0
14,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9833737232142856,0.0027433316476004,0.0019892999267577,0.0005976516200473,0.0015057779541015,0.000116947541373,3.357875115530831e-05,0.0001576083243233,0.0004829060843331,0.0002388879132951,0
15,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9815265625,0.002995178955078,0.0021744877580914,0.000652767551967,0.0016462417340959,0.0001277227674211,3.5019845145089286e-05,0.0001707164786201,0.0004875190124511,0.0002637550724574,0
16,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9795120892857144,0.0032683589913504,0.0023758282993861,0.0007125964529854,0.0017989961286271,0.0001394807913643,3.680177743094308e-05,0.0001852304687499,0.0004923487723213,0.0002907145254952,0
17,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9773164732142856,0.0035643258928571,0.0025945348074776,0.0007774744175501,0.0019649754987443,0.0001522845916747,3.892863300868444e-05,0.0002012449733189,0.0004974415283202,0.0003199865025111,0
18,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9749253928571427,0.0038845262276785,0.0028318580147879,0.0008477362409318,0.0021451515764508,0.0001662028743198,4.140703964233398e-05,0.0002188604234967,0.0005028440726143,0.0003518060738699,0
19,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9723231696428573,0.004230532156808,0.0030890992606026,0.0009237339739117,0.0023405272739954,0.0001813087397983,4.424608285086496e-05,0.0002381835850306,0.0005086043395995,0.0003864240591866,0
