time,y0_index,beta,Ca,delta,Susceptible,Exposed,Infectious_asymptomatic,Infectious_pre-symptomatic,Infectious_mild,Infectious_severe,Hospitalized_recovered,Hospitalized_deceased,Recovered,Deceased
58,0.0,0.045358978211879696,0.4250000119209289,0.1375000029802322,0.10031677193903873,0.0033097880342514855,0.0087548956260135,0.0009282087809424286,0.006287956434629728,0.00048694592711668574,0.0006614929946073285,0.003461162564326686,0.0038079718266829285,0.024541557823787356
59,0.0,0.045358978211879696,0.4250000119209289,0.1375000029802322,0.09925783553552996,0.002701581079594614,0.007288206442116272,0.0007573025149615429,0.0051798572430616285,0.0004011336018267714,0.0005986468317795429,0.0031015541136273,0.003892749991649557,0.025038743169965315
60,0.0,0.04402722045779223,0.4250000119209289,0.1375000029802322,0.09839211079168506,0.002206192882683443,0.006055938041334899,0.0006181513389689429,0.0042609093750575425,0.0003299693316110857,0.0005400957425013142,0.0027700181635153427,0.0039693551865647,0.025483530459881273
61,0.0,0.0410507081874779,0.4250000119209289,0.1375000029802322,0.09768407000958275,0.0018024655071732143,0.005023910232267186,0.0005048035198865285,0.0035010065806749856,0.0002711216351389,0.0004859212059617714,0.002466477832909414,0.004038372441904343,0.025880174931814787
62,0.0,0.03827542705195286,0.4250000119209289,0.1375000029802322,0.09710477250110568,0.001473250764635557,0.004161932469328157,0.0004124253936771571,0.0028740676009300996,0.00022257081832779998,0.00043609392834534285,0.002190240148279657,0.0041003897035787286,0.026232878842326342
63,0.0,0.035687770162309854,0.4250000119209289,0.1375000029802322,0.09663067480281581,0.0012046373365340714,0.003443662472184543,0.00033709474743841424,0.0023577771260641857,0.00018258875301762855,0.00039050156195285715,0.0019401708977175858,0.004155985919244286,0.0265456993241375
64,0.0,0.03374797478318213,0.4250000119209289,0.1375000029802322,0.09624256528269197,0.0009853475942699715,0.0028463411731879857,0.0002756304959534714,0.0019332244976526286,0.00014971094414065715,0.00034897228062685717,0.0017148373072501573,0.004205719700503529,0.026822497420020585
65,0.0,0.0336027555167675,0.4250000119209289,0.1375000029802322,0.09592477056612114,0.000806230610562443,0.002350460645812557,0.0002254527655916857,0.0015845061837440001,0.0001227058333034,0.0003112936265942857,0.001512620519013457,0.0042501242478899,0.027066903817447984
66,0.0,0.0336027555167675,0.4250000119209289,0.1375000029802322,0.09566450938928199,0.0006598566981274,0.0019394079357688287,0.0001844675839342286,0.0012983283259849429,0.00010054391677900455,0.00027722763203242857,0.0013318052498548286,0.004289702527803829,0.027282294085397257
67,0.0,0.03289571989859851,0.4250000119209289,0.1375000029802322,0.09545132246977732,0.0005401916998809857,0.0015991126893808284,0.00015097529104667143,0.0010636318993571428,8.236877562882677e-05,0.0002465228294879286,0.0011706467563381716,0.0043249232053018,0.027471779172195145
68,0.0,0.030716749440346414,0.4250000119209289,0.1375000029802322,0.09527667053663567,0.0004423244633225,0.0013177121485929428,0.00012359470556952857,0.0008712523712198142,6.747070013308057e-05,0.00021892333561451428,0.0010274211439818143,0.0043562222277891,0.027638209148791056
69,0.0,0.028640107384749775,0.4250000119209289,0.1375000029802322,0.095133581886702,0.00036225413980864286,0.0010852410801388285,0.00010120166889352496,0.0007136174589592715,5.526328870685302e-05,0.00019417559536402855,0.0009004608203786715,0.004384000485473743,0.02778417637614253
70,0.0,0.02670385901417047,0.4250000119209289,0.1375000029802322,0.095016320673006,0.00029672841394470003,0.0008933555291462285,8.288141627693429e-05,0.0005844851008351286,4.5263141652888546e-05,0.00017203331527915715,0.0007881797263004142,0.004408624819171057,0.027912025007371312
71,0.0,0.025397264088193535,0.4250000119209289,0.1375000029802322,0.09494514050137594,0.00025698693494923333,0.000776240435096,7.177308420155685e-05,0.0005061290256747667,3.9195162757057316e-05,0.00015760645753206667,0.0007157227654287666,0.004424557775412733,0.02799392629858957
0,0.0,0.5,0.6000000238418579,0.1375000029802322,0.9999015000737137,4.992992238592085e-05,2.8237666631015584e-05,5.951722287224859e-06,2.303412789073856e-06,1.7837870420651084e-07,2.43954501741846e-06,2.4350393526711927e-06,3.238899841713515e-06,1.6056193519654432e-07
1,0.0,0.5,0.6000000238418579,0.1375000029802322,0.9998676747014595,5.515108329258924e-05,3.342329287061504e-05,1.033368575332194e-05,9.75692312608123e-06,7.555863243208756e-07,2.153522371103432e-06,2.2250592278007135e-06,3.5473422703271276e-06,5.111743501201766e-07
2,0.0,0.5,0.6000000238418579,0.1375000029802322,0.9998179824561404,7.034653420822996e-05,3.98753685144905e-05,1.3525437415920315e-05,1.8204853103414992e-05,1.409802836829119e-06,1.9325579265463447e-06,2.2252417236377617e-06,3.821707854453009e-06,8.459639166126591e-07
3,0.0,0.48049080797604155,0.6000000238418579,0.1375000029802322,0.999750036856848,9.317994036891636e-05,4.926586811932318e-05,1.7727903607635746e-05,2.7571265507320835e-05,2.13514784875212e-06,1.7711786891302317e-06,2.4229488628690576e-06,4.070378397306509e-06,1.195810756095651e-06
4,0.0,0.44800665974617004,0.6000000238418579,0.1375000029802322,0.9996588345864661,0.00012433285483312857,6.271377208045534e-05,2.3527384964252455e-05,3.887308788004306e-05,3.0103731556099003e-06,1.66695490182896e-06,2.822001915703512e-06,4.3011645238764705e-06,1.5906459828595682e-06
5,0.0,0.4177186403955732,0.6000000238418579,0.1375000029802322,0.9995369766327584,0.0001660381206347,8.142889901000492e-05,3.137247635870754e-05,5.326225756544394e-05,4.12468563643912e-06,1.6217135089557642e-06,3.4502655570879285e-06,4.521835382825134e-06,2.062806368893479e-06
